"review_id","order_id","review_score","review_comment_title","review_comment_message","review_creation_date","review_answer_timestamp"
"c7cd8f9485ee11a4b174aede7c474146","29005d903202063a0ff076bfdf7fcc13",4.0,,"Produto chegou no prazo e em perfeito estado. Corresponde ao que foi informado no site.","2017-08-18 00:00:00","2017-08-21 17:15:14"
"b86988a140e7bded0f6148915ec33ffa","fae07f01dfeea5a98b59ba06f1fa7bba",4.0,,,"2017-08-18 00:00:00","2017-08-18 23:45:59"
"55d3d6a0697d177d5e74691c1e79fb83","6413bab2628f99100c492390a5a54231",5.0,,"Otimo produto.","2017-08-18 00:00:00","2017-08-21 16:04:24"
"5e79c8a72d4bed0185c9bd01d2ea6551","40b78093269252ad30000071c00f5c9a",2.0,,,"2017-08-18 00:00:00","2017-08-21 18:15:32"
"4975f94f568dddb447e0f8a4436b9e69","13745e40e031fc753b072545abbde8e9",4.0,,"Os produtos cheragam porém não eram exatamente os que estavam na fotos mais da pra usar","2017-08-18 00:00:00","2017-08-25 14:17:50"
"3580739687d9be85a1789e4836e2350d","d3dda8df7e8aa849ce52346514bdb885",4.0,,,"2017-08-18 00:00:00","2017-08-21 08:33:18"
"6e2b17fba28a8ae2642c473e62fde236","a3925c1c7a9d4544b8b2a2d34988be43",5.0,,"Ótimo lugar para fazer compras rápidas e seguras informações bem claras recomendado","2017-08-18 00:00:00","2017-08-19 00:03:52"
"fb2dc0887b260ad8fa4f6fb83c74071d","00c95282163553a982f38481f9488481",4.0,,,"2017-08-18 00:00:00","2017-08-19 00:12:31"
"6dcdde73918f6aa9ed20501a0d5a19c3","16c9149a437c7d21f682dd7d693985f0",5.0,,,"2017-08-18 00:00:00","2017-08-20 02:31:53"
"557bf94a82aae7d36f4ece518311953b","0d25f1b15acb59ceff22667265743132",5.0,,,"2017-08-18 00:00:00","2017-08-18 23:57:03"
"04257ccbaad222fcd408b94f3081fdcf","5479f014d5015a0feaf35483c4bb73b3",5.0,,"ta de parabens","2017-08-18 00:00:00","2017-08-19 02:08:39"
"c0d9327146f69013e98157d573663cb8","2482a3ac21e8d1e6528ac010fe8c4c4e",5.0,,,"2017-08-18 00:00:00","2017-08-19 00:07:16"
"eefe4d98434db8575c5f8c14a3e1f736","ea2a61e3a57414402f9c6dae7b04cddd",5.0,,"tudo ótimo! recebi o produto antes da data prevista. em perfeitas condições. nota 1000.🤗","2017-08-18 00:00:00","2017-08-18 23:37:11"
"0c1c984aef5fd2817213ecd3f44964d2","f926a7ccfbe7af773ea940b92a67f2fb",5.0,,,"2017-08-18 00:00:00","2017-08-26 01:50:25"
"96d308c91f38ae2c99da987849a9e0a6","73c0786753e32171d5d1bba1e682b4ba",5.0,,"Produto entregue antes da data prevista. Parabéns","2017-08-18 00:00:00","2017-08-18 19:32:52"
"48c743b6f1e00ba85f93e78bc33a06f2","bc3471af826ef5a2d49ddea3b33634b9",2.0,,"Recebi o produto porem não gostei ! Ja solicitei devolução mas ate o presente momento nao tive retorno. ","2017-08-18 00:00:00","2017-08-21 17:16:45"
"734fd44778c4bb74f5072a9aa9495c3b","907f97a18c02082128c530919e8fe089",2.0,,"O anúncio diz que o produto tem 6cm de altura, e as cerdas tem 4cm. Mas não é verdade. O que recebi tem menos de 4cm de altura.","2017-08-18 00:00:00","2017-08-19 00:25:15"
